t,x,y,z,magnitude
0.0,0.44491891221243934,0.04968484223223437,-0.002862946310638759,0.4476936658626297
0.049977779388427734,0.47286776412683285,0.047810542423565215,-0.004831696404113338,0.47530318282890455
0.09991097450256348,0.47420359168268766,0.04588182658825844,-0.004723687200124549,0.4764414986088017
0.14991283416748047,0.4839034518947456,0.05261612380975862,-0.005784580607658616,0.4867899635502161
0.20025849342346191,0.4675879212552897,0.050498034872755046,-0.0038841160820193665,0.4703228699389299
0.24999642372131348,0.4818370404435862,0.05115776804171721,-0.005067038850015287,0.4845716930002741
0.29991912841796875,0.4855126091067501,0.05392334622192517,-0.0055728296821214735,0.48852970974146437
0.3499491214752197,0.47862729523389247,0.05912583269097993,-0.005694797492159981,0.4822990592493315
0.39991283416748047,0.48525868189703475,0.06066911384971521,-0.00565328618275522,0.48906920714395974
0.44991540908813477,0.45128079792784775,0.0545834603176209,-0.004277031784542842,0.45458993138819764
0.5002768039703369,0.4467423505562052,0.05176466219471934,-0.004878665726019189,0.449757834186224
0.549877405166626,0.4413679166270033,0.047621467425093725,-0.005293688397926089,0.4439611076707451
0.5999219417572021,0.43458072264709113,0.045803653246749475,-0.004919011924451207,0.43701553270510796
0.6499085426330566,0.45893400942085705,0.04186157520313281,-0.005507948839279748,0.4608721666384367
0.6999301910400391,0.4615059498027573,0.04028969924397776,-0.006294192165200073,0.4633040237506337
0.7499277591705322,0.4696152669646563,0.04637107132239893,-0.0054653518695492636,0.47193076324067956
0.799893856048584,0.480729341318158,0.039495514772655366,-0.006723025332526747,0.4823958896601098
0.8498997688293457,0.48416297734909697,0.04347956043128951,-0.007080792520562259,0.48616293403915484
0.9000012874603271,0.48119058582402957,0.0352162834127888,-0.008391946714940488,0.4825505064475107
0.9499208927154541,0.49398615420122266,0.039925560729816637,-0.008379679364170993,0.49566782220389366
1.0000557899475098,0.5075550090966473,0.03637723514542901,-0.0113283824724754,0.5089830279541414
1.049940586090088,0.4934954135790045,0.03619236939229204,-0.013057345191050874,0.49499303539461953
1.0999176502227783,0.5001097203031346,0.028948616386276618,-0.013924491570057072,0.5011403458092792
