topic,message_count,average_hz
/clock,50227,941.1502573388857
/imu/data,10050,188.3162459684194
/ground_truth/odometry,5007,93.82084015560955
/battery/state,2580,48.34387209935543
/pressure/depth_pose,2513,47.08843045956597
/auv/state,2512,47.069692524643735
/sara_uuv/propeller/cmd_angvel,2512,47.069692524643735
/sara_uuv/fin_4/cmd_pos,2512,47.069692524643735
/sara_uuv/cmd_vel,2512,47.069692524643735
/sara_uuv/fin_3/cmd_pos,2512,47.069692524643735
/guidance/setpoint,2512,47.069692524643735
/sara_uuv/fin_2/cmd_pos,2512,47.069692524643735
/sara_uuv/fin_1/cmd_pos,2512,47.069692524643735
/tf,2512,47.069692524643735
/odometry/ukf,1509,28.275543797646257
/auv/fire/capacitive_surface_valid,1477,27.675929880134873
/auv/fire/capacitive_sensor_z,1477,27.675929880134873
/navigation/status,1069,20.030852431864712
/ocean_current,1068,20.01211449694248
/ocean_current/status,1067,19.99337656202025
/auv/failsafe/status,1005,18.83162459684194
/dvl/raw,762,14.278306410739859
/dvl/quality_twist,666,12.479464658205703
/guidance/goal,452,8.469546584848315
/rosout,60,1.124276095333847
