time,topic,depth,speed,target_depth,target_speed,cmd_forward,cmd_vertical,cmd_yaw_rate
1781514507.9983268,/auv/state,0.10754106151262022,0.022493321569402293,,,,,
1781514507.9985464,/guidance/setpoint,,,2.0,0.0,,,
1781514507.9986837,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.0410712,/auv/state,0.10608194076751054,0.022493321569402293,,,,,
1781514508.0414376,/guidance/setpoint,,,2.0,0.0,,,
1781514508.04159,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.046419,/auv/state,0.10637520064502977,0.04129610242157255,,,,,
1781514508.046867,/guidance/setpoint,,,2.0,0.0,,,
1781514508.0470183,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.0503998,/auv/state,0.10744024105588323,0.042116091847145466,,,,,
1781514508.050594,/guidance/setpoint,,,0.10637520064502977,0.0,,,
1781514508.0506957,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.0633209,/auv/state,0.10418274939182975,0.042116091847145466,,,,,
1781514508.0634768,/guidance/setpoint,,,0.10744024105588323,0.0,,,
1781514508.0635762,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.0836086,/auv/state,0.10589841687442458,0.0225176820670737,,,,,
1781514508.0837555,/guidance/setpoint,,,0.10418274939182975,0.0,,,
1781514508.0838995,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.10777,/auv/state,0.09999663103368447,0.0225176820670737,,,,,
1781514508.1081245,/guidance/setpoint,,,0.10589841687442458,0.0,,,
1781514508.1082203,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.1278305,/auv/state,0.11015709525441905,0.022850630244587264,,,,,
1781514508.1281035,/guidance/setpoint,,,0.09999663103368447,0.0,,,
1781514508.1282904,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.1474452,/auv/state,0.10522904830759217,0.0036852484403061448,,,,,
1781514508.1476753,/guidance/setpoint,,,0.11015709525441905,0.0,,,
1781514508.1478376,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.1672523,/auv/state,0.10828692560813333,0.0036852484403061448,,,,,
1781514508.1674886,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.1687932,/guidance/setpoint,,,0.10522904830759217,0.0,,,
1781514508.1895442,/auv/state,0.1077133893249993,0.0038003658078810095,,,,,
1781514508.1897044,/guidance/setpoint,,,0.10828692560813333,0.0,,,
1781514508.1897998,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.2102587,/auv/state,0.11101823578276325,0.0038003658078810095,,,,,
1781514508.2105725,/guidance/setpoint,,,0.1077133893249993,0.0,,,
1781514508.210728,/sara_uuv/cmd_vel,,,,,0.0,0.0,0.0
1781514508.2296107,/auv/state,0.10598837636400302,0.01690526150817469,,,,,
