t,x,y,z,vx,vy,vz,roll,pitch,yaw,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_roll,gt_pitch,gt_yaw
0.0,0.0,0.0,-0.10231179009315383,0.017006245559059607,0.018922904057831147,-0.02359293446272659,-9.327350249899169e-05,-0.008075486985517076,-5.312367961840536e-05,0.0,0.0,-0.10184607107894748,0.002217017523701522,2.5790803590627134e-07,-0.024497071311563715,-1.0258279293681192e-05,-0.00819795532811487,-3.4608968058267913e-06
0.03500000000000014,0.0006080259245209163,0.0006669285266980296,-0.10150456141855102,0.017365206015256263,0.019193643606513433,-0.02421361632912067,-0.00010046410848563166,-0.0073853999146615825,-5.038809435076174e-05,8.55423240409014e-05,-8.051956592114758e-12,-0.10265655985727938,0.0022795789105983766,2.375715476907252e-07,-0.022371903907382685,-1.0228257533415598e-05,-0.0075102147093402145,-3.465044528674771e-06
0.0649999999999995,0.000211918760669505,-0.000577416697069566,-0.10331257141933747,-0.001217486455004746,-0.0178074428289392,-0.019047703444698527,-9.530066204233023e-05,-0.006789691788799512,-5.1535025112237065e-05,0.00015881621180025221,-1.307940556293333e-11,-0.10327273328500662,0.002298094049098275,2.0755977772134882e-07,-0.019562542518402067,-1.0202371022419612e-05,-0.006908314175587874,-3.4685791122581326e-06
0.09999999999999964,0.00017305259780187043,-0.001209573344567616,-0.10384968773541914,-0.0012520152978225951,-0.01831219257030625,-0.019556325256530727,-8.82889072526538e-05,-0.006104544084654774,-5.020436313785126e-05,0.0002428400397116448,-8.01042912729698e-11,-0.10386925117996398,0.002275504817453945,1.624577444215992e-07,-0.015388767835610865,-1.0172390418836644e-05,-0.006223390789031147,-3.472526452496717e-06
0.13000000000000078,0.0006355892655847128,-0.001391814590760987,-0.10408524260765262,0.008906499339445872,-0.01112226335919786,-0.010168361152125271,-9.133142727213439e-05,-0.005565067572431469,-4.91042784633855e-05,0.0003122041273364613,-1.5522854355621163e-10,-0.10425448079862638,0.002217975375105235,1.2611517738476553e-07,-0.01191144217763923,-1.0149425606010948e-05,-0.005680735136730813,-3.4755906388240732e-06
0.16500000000000092,0.0009526207245471596,-0.0017869736227567046,-0.10406390166599522,0.009101313795781607,-0.01145542519486753,-0.010458629080346782,-9.491935524819083e-05,-0.005004934712982135,-4.4152257989704686e-05,0.00038963973929174084,-3.019354213182259e-10,-0.10458699347998908,0.002124862396177679,8.489276308163408e-08,-0.008152644803850192,-1.0125539845435895e-05,-0.005110116498352931,-3.478757372652481e-06
0.1999999999999993,0.0013556402441281534,-0.002053144729188716,-0.1035397228556576,0.010805095986825108,-0.009203388445541805,0.0016560933082629958,-9.66533315427398e-05,-0.00453784818515368,-4.7693136627557906e-05,0.0004626648405414713,-5.640993297149261e-10,-0.10479588335708365,0.0020123189168881816,4.473763979977715e-08,-0.0046265797505048245,-1.0104209994798631e-05,-0.0046202131132503195,-3.4814400915428766e-06
0.23000000000000043,0.0016824797712615691,-0.0023328268539444252,-0.10460449360698476,0.010999889256481765,-0.00944127508978454,0.00162612086424474,-9.307534773084214e-05,-0.0042026132512802405,-4.865167863110642e-05,0.0005210834432949374,-9.245833535920087e-10,-0.10487167876662594,0.0019059895460365862,1.1092345662826027e-08,-0.0017403549155883542,-1.0087480941518425e-05,-0.004277648987605226,-3.4833121851379044e-06
0.26500000000000057,0.0017000601387735514,-0.001735002259920293,-0.1036403924899787,0.004073383129480135,0.008306721985150034,0.006539595831270617,-8.93971785131953e-05,-0.003899454817288372,-4.99192887049027e-05,0.0005848982539102836,-1.4921207839668184e-09,-0.10485961334161881,0.0017766904868057641,-2.7293372799804757e-08,0.0015321620972361615,-1.006899140688893e-05,-0.003958879785442382,-3.485093549964459e-06
0.3000000000000007,0.001843158767769637,-0.001442594515538076,-0.10507365086095888,0.004152890555303657,0.00840146914390516,0.006601841039724832,-8.852643967660613e-05,-0.00368570176350147,-4.6105142044172716e-05,0.0006437821409210926,-2.23490371584171e-09,-0.10473736165972306,0.001644121118553259,-6.500014654519884e-08,0.00471156394195768,-1.0051056638980607e-05,-0.003732372218789024,-3.486455741973945e-06
0.33000000000000007,0.001596518789028778,-0.0009742758500124182,-0.10425015786177028,-0.0031804681847802385,0.012780905749309568,0.015657973136967485,-8.76813232482121e-05,-0.0035904284482755067,-5.3245328157203176e-05,0.0006898875962266806,-3.04159278222824e-09,-0.10453845197311419,0.0015290889918446423,-9.688251346986972e-08,0.007352661897303263,-1.0035578874513346e-05,-0.003620455210281322,-3.4872772243849392e-06
0.3650000000000002,0.0014818841827946017,-0.0005236284123384394,-0.10300953376236066,-0.003258882293721399,0.01296738198169578,0.015916050516921132,-9.020793083314158e-05,-0.003558800542130313,-4.82464214766054e-05,0.0007392691586669565,-4.1741037986530496e-09,-0.10421437551011291,0.0013948129850407595,-1.3370314044221284e-07,0.01034644998818866,-1.001683818591764e-05,-0.0035736206252875956,-3.4879009223962126e-06
0.40000000000000036,0.0024203882849178626,-0.001531879777303402,-0.10312578418597695,0.016000673163034662,-0.013708294424361611,0.009349178089792076,-8.751154950203953e-05,-0.0036141146989421276,-4.67418786733731e-05,0.0007837049069490141,-5.540239381016731e-09,-0.1037898185874039,0.001261685146323567,-1.6991214973362085e-07,0.013238981761291188,-9.996674426910527e-06,-0.0036215926811182875,-3.488170895363907e-06
0.4299999999999997,0.002903723266626912,-0.001948203915844715,-0.10289927282428835,0.016292176307388218,-0.014046759052689595,0.00944422387084387,-9.749696945693385e-05,-0.0037484438934667344,-4.7357988345542154e-05,0.0008174820925952453,-6.9330947226337414e-09,-0.10334048380237479,0.0011505591748920193,-2.0048509810871395e-07,0.01563319446409803,-9.977607164586953e-06,-0.0037464481585758984,-3.488106331173641e-06
0.46499999999999986,0.002436428578221239,-0.0013811340766096691,-0.10363187996563283,-0.002445518359735388,0.005095708712161695,0.019900390895372766,-8.929876552654648e-05,-0.003992789360625081,-4.952823731008138e-05,0.000852625187811152,-8.8008876405213e-09,-0.10273291443663342,0.0010256730999887932,-2.3569828686466635e-07,0.01834408221266648,-9.95302869746728e-06,-0.003976265852016427,-3.487743601088097e-06
0.5,0.0023466530901714577,-0.001202207960659507,-0.10216257851607224,-0.0025191978679401927,0.005124601071827328,0.020239424805254203,-9.959785521784781e-05,-0.00433194617641286,-5.0787742965852096e-05,0.0008830913760462522,-1.0950041065821572e-08,-0.10203468664112454,0.0009077622222073651,-2.691899791561873e-07,0.020929054433587006,-9.925478961867454e-06,-0.004299949206230225,-3.4870714466303484e-06
0.5299999999999994,0.002908490137087938,-0.0011141676734496286,-0.10169716990185407,0.009412563491082437,0.003913311635756145,0.02287528927342919,-9.489140776697266e-05,-0.00469414898339071,-4.752747371794539e-05,0.0009053882697633853,-1.2928113497834332e-08,-0.10137528758035909,0.0008185886538149671,-2.8450846880885426e-07,0.022261447784465493,-9.901470976734811e-06,-0.004655634139272363,-3.4862292230634364e-06
