t,x,y,z,vx,vy,vz,yaw,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_yaw
0.0,0.0,0.0,-0.10297792104393011,0.01207497527968826,-0.01634078564052288,0.003952003139346516,5.0154603834950955e-05,0.0,0.0,-0.10087918256496077,0.0004801183783884367,-1.4498059371601717e-07,0.01394213919164351,-3.515947944858323e-06
0.03500000000000014,0.005518720061559179,-0.006801671942184839,-0.10306717425737588,-0.001031984878864023,-0.0002935227259772688,-0.008450985180445514,5.6815138347765526e-05,1.288140120880854e-05,-8.981738815943314e-10,-0.10038194607795067,0.0004071905490833017,-1.4981843701771593e-07,0.01425905608088268,-3.515281635424213e-06
0.0649999999999995,0.005485863574108407,-0.00680533795843985,-0.10248416403874216,-0.0012395457784890596,4.809878949063595e-05,-0.00851197403835613,4.9465716884800066e-05,2.2143177921485346e-05,-1.7111443878568109e-09,-0.09996067156116835,0.0003626190258390433,-1.4726734889589982e-07,0.013856101593696157,-3.514596206858574e-06
0.09999999999999964,0.009696622890373874,-0.0075136551208743185,-0.10134459747587243,-0.013193539373787644,0.0024113680414075134,-0.017567219017792013,4.879962370063494e-05,3.175883594064288e-05,-2.674042833992089e-09,-0.09950142603418302,0.00033295704702678735,-1.3665446610471177e-07,0.01264314017825421,-3.51373705408534e-06
0.1349999999999998,0.009228648161183628,-0.007421369536587008,-0.09839943525003036,-0.013739641394977298,0.00286095032501521,-0.017823704415718566,5.0558993397675764e-05,4.1030670720587636e-05,-3.615271624094696e-09,-0.09909939921176675,0.0003262513485639636,-1.1884050836751161e-07,0.010735724184733102,-3.5128882888105887e-06
0.16499999999999915,0.0038043223111117186,0.000360984063036085,-0.09992607559615863,0.0002120907944540562,-0.01897514301094816,-0.027383690189139998,4.795930333001408e-05,4.940985703338896e-05,-4.376287218243195e-09,-0.09881861329314662,0.00033798691588985807,-9.856083433059733e-08,0.008620300935674372,-3.512224721363411e-06
0.1999999999999993,0.00381446747701375,-0.0003051627425065817,-0.1001893232846669,3.479632778935482e-05,-0.019094025822823824,-0.02789033806345742,5.2390093583376554e-05,6.049218218073804e-05,-5.181540072539609e-09,-0.09858191252968503,0.0003693368494115811,-7.048989131439218e-08,0.005730941889581842,-3.5115825765538773e-06
0.23499999999999943,0.004302492870920105,-0.00343107788216912,-0.10085209745466273,-0.0016396728241829805,-0.011579667563353269,-0.02723093640111074,4.854655602226643e-05,7.359461437683734e-05,-5.881517770559631e-09,-0.09845098554430223,0.0004157821886811138,-3.9490379603159486e-08,0.002557308302922238,-3.511119770032169e-06
0.26500000000000057,0.004255884122471798,-0.0037774754757720075,-0.10076843740171171,-0.0018238682633722192,-0.0115171386307793,-0.02763694129691885,4.589358821727175e-05,8.690427938695677e-05,-6.383533591415913e-09,-0.09843046849509966,0.0004650369577247744,-1.1812659062636331e-08,-0.0002595158817644944,-3.510897796297896e-06
0.3000000000000007,0.005523734034454719,-0.004097336628319681,-0.09907337153026674,-0.006391474904887673,-0.011713730003066303,-0.022219128891379114,5.12983375724474e-05,0.00010521064988289197,-6.846650723227021e-09,-0.09851335406099092,0.0005305134286187208,1.9962804680560323e-08,-0.0034740460135199917,-3.510862571148512e-06
0.3349999999999991,0.005299677896459798,-0.004506113465595263,-0.10051696821483347,-0.00671434901585144,-0.011647462312851076,-0.022562789976518616,5.211811747463101e-05,0.00012662017403819448,-7.177088254810182e-09,-0.09870108211213255,0.0006023781431680006,4.952360611356922e-08,-0.006425024253782948,-3.51107387455017e-06
0.3650000000000002,0.005055756109982212,-0.009934959595511828,-0.10001772238592821,-0.006794894489473791,0.006040208584494167,-0.013692448501842591,5.381348222721627e-05,0.0001475819137688461,-7.348850707913166e-09,-0.09893814119520068,0.0006671354036575149,7.17804998634012e-08,-0.008599298641984445,-3.51146359423751e-06
0.40000000000000036,0.004815584549874075,-0.009714810239074723,-0.09850814156288834,-0.0071129104799751985,0.006538650832453641,-0.013814084300463492,5.5566952697372336e-05,0.00017499107183915896,-7.415844808802335e-09,-0.09928597459496705,0.0007426865804458895,9.303312551808388e-08,-0.010584631038184807,-3.5121588990955827e-06
