t,navigation_valid,navigation_degraded,failsafe,dvl_ok
24.582,True,False,False,True
24.626,True,False,False,True
24.676,True,False,False,True
24.716,True,False,False,True
24.761,True,False,False,True
24.808,True,False,False,True
24.849,True,False,False,True
24.896,True,False,False,True
24.943,True,False,False,True
24.984,True,False,False,True
25.023,True,False,False,True
25.07,True,False,False,True
25.11,True,False,False,True
25.147,True,False,False,True
25.185,True,False,False,True
25.22,True,False,False,True
25.26,True,False,False,True
25.304,True,False,False,True
25.344,True,False,False,True
25.379,True,False,False,True
25.422,True,False,False,True
25.465,True,False,False,True
25.501,True,False,False,True
25.543,True,False,False,True
25.584,True,False,False,True
25.626,True,False,False,True
25.667,True,False,False,True
25.705,True,False,False,True
25.746,True,False,False,True
25.789,True,False,False,True
25.831,True,False,False,True
25.871,True,False,False,True
25.914,True,False,False,True
25.956,True,False,False,True
25.999,True,False,False,True
26.039,True,False,False,True
26.076,True,False,False,True
26.116,True,False,False,True
26.156,True,False,False,True
26.198,True,False,False,True
26.232,True,False,False,True
26.269,True,False,False,True
26.309,True,False,False,True
26.349,True,False,False,True
26.393,True,False,False,True
26.43,True,False,False,True
26.47,True,False,False,True
26.514,True,False,False,True
26.547,True,False,False,True
26.586,True,False,False,True
26.624,True,False,False,True
26.665,True,False,False,True
26.706,True,False,False,True
26.749,True,False,False,True
26.791,True,False,False,True
26.831,True,False,False,True
26.871,True,False,False,True
26.917,True,False,False,True
26.962,True,False,False,True
27.005,True,False,False,True
27.054,True,False,False,True
27.1,True,False,False,True
27.146,True,False,False,True
27.188,True,False,False,True
27.228,True,False,False,True
27.273,True,False,False,True
27.322,True,False,False,True
27.366,True,False,False,True
27.412,True,False,False,True
27.457,True,False,False,True
27.502,True,False,False,True
27.544,True,False,False,True
27.589,True,False,False,True
27.633,True,False,False,True
27.679,True,False,False,True
27.722,True,False,False,True
27.772,True,False,False,True
27.814,True,False,False,True
27.861,True,False,False,True
27.907,True,False,False,True
27.949,True,False,False,True
27.992,True,False,False,True
28.038,True,False,False,True
28.083,True,False,False,True
28.125,True,False,False,True
28.168,True,False,False,True
28.209,True,False,False,True
28.249,True,False,False,True
28.295,True,False,False,True
28.338,True,False,False,True
28.381,True,False,False,True
28.426,True,False,False,True
28.466,True,False,False,True
28.509,True,False,False,True
28.554,True,False,False,True
28.596,True,False,False,True
28.638,True,False,False,True
28.68,True,False,False,True
28.722,True,False,False,True
28.769,True,False,False,True
28.812,True,False,False,True
28.853,True,False,False,True
28.896,True,False,False,True
28.932,True,False,False,True
28.979,True,False,False,True
29.025,True,False,False,True
29.065,True,False,False,True
29.107,True,False,False,True
29.151,True,False,False,True
29.197,True,False,False,True
29.239,True,False,False,True
29.283,True,False,False,True
29.327,True,False,False,True
29.371,True,False,False,True
29.415,True,False,False,True
29.457,True,False,False,True
29.502,True,False,False,True
29.543,True,False,False,True
29.587,True,False,False,True
29.628,True,False,False,True
29.671,True,False,False,True
29.713,True,False,False,True
29.76,True,False,False,True
29.803,True,False,False,True
29.849,True,False,False,True
29.895,True,False,False,True
29.939,True,False,False,True
29.982,True,False,False,True
30.03,True,False,False,True
30.073,True,False,False,True
30.115,True,False,False,True
30.16,True,False,False,True
30.2,True,False,False,True
30.245,True,False,False,True
30.295,True,False,False,True
30.335,True,False,False,True
30.377,True,False,False,True
30.426,True,False,False,True
30.47,True,False,False,True
30.512,True,False,False,True
30.559,True,True,False,False
30.599,True,True,False,False
30.644,True,True,False,False
30.691,True,True,False,False
30.737000000000002,True,True,False,False
30.778,True,True,False,False
30.824,True,True,False,False
30.874,True,True,False,False
30.919,True,True,False,False
30.96,True,True,False,False
31.008,True,True,False,False
31.052,True,True,False,False
31.094,True,True,False,False
31.138,True,True,False,False
31.182,True,True,False,False
31.227,True,True,False,False
31.277,True,True,False,False
31.321,True,True,False,False
31.365,True,True,False,False
31.415,True,True,False,False
31.453,True,True,False,False
31.496,True,True,False,False
31.541,True,True,False,False
31.579,True,True,False,False
31.624,True,True,False,False
31.672,True,True,False,False
31.718,True,True,False,False
31.765,True,True,False,False
31.81,True,True,False,False
31.855,True,True,False,False
31.901,True,True,False,False
31.943,True,True,False,False
31.987000000000002,True,True,False,False
32.034,True,True,False,False
32.074,True,True,False,False
32.115,True,True,False,False
32.159,True,True,False,False
32.209,True,True,False,False
32.254,True,True,False,False
32.299,True,True,False,False
32.341,True,True,False,False
32.387,True,True,False,False
32.432,True,True,False,False
32.479,True,True,False,False
32.529,True,True,False,False
32.571,True,True,False,False
32.616,True,True,False,False
32.665,True,True,False,False
32.709,True,True,False,False
32.752,True,True,False,False
32.802,True,True,False,False
32.842,True,True,False,False
32.887,True,True,False,False
32.933,True,True,False,False
32.971000000000004,True,True,False,False
33.008,True,True,False,False
33.056,True,True,False,False
33.1,True,True,False,False
33.143,True,True,False,False
33.188,True,True,False,False
33.23,True,True,False,False
33.278,True,True,False,False
33.324,True,True,False,False
33.365,True,True,False,False
33.409,True,True,False,False
33.46,True,True,False,False
33.498,True,True,False,False
33.543,True,True,False,False
33.593,True,True,False,False
33.639,True,True,False,False
33.681,True,True,False,False
33.726,True,True,False,False
33.772,True,True,False,False
33.817,True,True,False,False
33.863,True,True,False,False
33.912,True,True,False,False
33.95,True,False,False,True
33.997,True,False,False,True
34.043,True,False,False,True
34.084,True,False,False,True
34.13,True,False,False,True
34.172,True,False,False,True
34.217,True,False,False,True
34.255,True,False,False,True
34.3,True,False,False,True
34.343,True,False,False,True
34.389,True,False,False,True
34.433,True,False,False,True
34.478,True,False,False,True
34.52,True,False,False,True
34.569,True,False,False,True
34.615,True,False,False,True
34.66,True,False,False,True
34.707,True,False,False,True
34.75,True,False,False,True
34.797,True,False,False,True
34.845,True,False,False,True
34.886,True,False,False,True
34.932,True,False,False,True
34.979,True,False,False,True
35.024,True,False,False,True
35.069,True,False,False,True
35.115,True,False,False,True
35.157,True,False,False,True
35.201,True,False,False,True
35.246,True,False,False,True
35.293,True,False,False,True
35.336,True,False,False,True
35.381,True,False,False,True
35.427,True,False,False,True
35.468,True,False,False,True
35.51,True,False,False,True
35.554,True,False,False,True
35.598,True,False,False,True
35.641,True,False,False,True
35.687,True,False,False,True
35.731,True,False,False,True
35.778,True,False,False,True
35.821,True,False,False,True
35.865,True,False,False,True
35.908,True,False,False,True
35.953,True,False,False,True
35.998,True,False,False,True
36.038,True,False,False,True
36.085,True,False,False,True
36.123,True,False,False,True
36.16,True,False,False,True
36.197,True,False,False,True
36.229,True,False,False,True
36.26,True,False,False,True
36.298,True,False,False,True
36.313,True,False,False,True
36.331,True,False,False,True
36.363,True,False,False,True
36.402,True,False,False,True
36.442,True,False,False,True
36.484,True,False,False,True
36.525,True,False,False,True
36.569,True,False,False,True
36.613,True,False,False,True
36.659,True,False,False,True
36.7,True,False,False,True
36.746,True,False,False,True
36.785,True,False,False,True
36.829,True,False,False,True
36.867,True,False,False,True
36.911,True,False,False,True
36.959,True,False,False,True
36.999,True,False,False,True
37.038,True,False,False,True
37.083,True,False,False,True
37.124,True,False,False,True
37.171,True,False,False,True
