t,x,y,z,vx,vy,vz,yaw,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_yaw
0.0,0.0,0.0,-0.1029801481740833,0.012063594082633244,-0.01636766854369398,0.0039730162237106015,4.93720177821011e-05,0.0,0.0,-0.10087918256496077,0.0004801183783884367,-1.4498059371601717e-07,0.01394213919164351,-3.515947944858323e-06
0.03200000000000003,0.0054105418290447925,-0.006647713150885422,-0.10304710737566339,-0.0010444786722870437,-0.0002703195257412557,-0.008444623307107242,7.336478196240392e-05,1.1912278554682132e-05,-8.177512560308204e-10,-0.10042457833674528,0.00041222170951166876,-1.4986732116700036e-07,0.01427917474798357,-3.5153476442652993e-06
0.0649999999999995,0.005373658579742369,-0.006650123467807134,-0.10248725825613292,-0.0012708022455285573,0.00012319269334692962,-0.008510722299547524,4.891198336487435e-05,2.2143177921485346e-05,-1.7111443878568109e-09,-0.09996067156116835,0.0003626190258390433,-1.4726734889589982e-07,0.013856101593696157,-3.514596206858574e-06
0.09999999999999964,0.009476993019575275,-0.007311026554134514,-0.10134548213864036,-0.013192171918490203,0.002433998363088108,-0.017559585754952423,4.861381794007969e-05,3.175883594064288e-05,-2.674042833992089e-09,-0.09950142603418302,0.00033295704702678735,-1.3665446610471177e-07,0.01264314017825421,-3.51373705408534e-06
0.13199999999999967,0.009049877594617492,-0.0072262967239226025,-0.09834594205554147,-0.01368868242666153,0.0028605168376581403,-0.017789514247131454,7.094479776892372e-05,4.021695673728232e-05,-3.537361915039899e-09,-0.09912966034322662,0.0003255781076250998,-1.207332505278471e-07,0.010934328335126978,-3.5129574218476823e-06
0.16499999999999915,0.00379014717316295,0.0006354015545184666,-0.09994508350791875,0.00012199264585532887,-0.019831873260272914,-0.027724880467530966,4.844712546780981e-05,4.940985703338896e-05,-4.376287218243195e-09,-0.09881861329314662,0.00033798691588985807,-9.856083433059733e-08,0.008620300935674372,-3.512224721363411e-06
0.1999999999999993,0.003797206617264237,-6.082806612539571e-05,-0.10020350693503133,-5.529189244457555e-05,-0.01995636059439221,-0.028236833651362758,5.244823219197059e-05,6.049218218073804e-05,-5.181540072539609e-09,-0.09858191252968503,0.0003693368494115811,-7.048989131439218e-08,0.005730941889581842,-3.5115825765538773e-06
0.23199999999999932,0.004243812571506085,-0.003372660476138309,-0.10077179050632193,-0.0016290057196997106,-0.011607258738433823,-0.0271885110840955,6.970481801893413e-05,7.233237865378328e-05,-5.828189703318232e-09,-0.09845586015123668,0.00041109733537395406,-4.2247925413622025e-08,0.002838356268139577,-3.5111476065117018e-06
0.26500000000000057,0.004192598746158183,-0.0037542635488989617,-0.10076917397555007,-0.0018296229083460958,-0.011523866754941992,-0.02763355570391468,4.565915303977874e-05,8.690427938695677e-05,-6.383533591415913e-09,-0.09843046849509966,0.0004650369577247744,-1.1812659062636331e-08,-0.0002595158817644944,-3.510897796297896e-06
0.3000000000000007,0.005411391129200638,-0.004078320967437321,-0.09907360180886826,-0.006389576189008039,-0.01169890463881984,-0.02221642578274441,5.111398782675636e-05,0.00010521064988289197,-6.846650723227021e-09,-0.09851335406099092,0.0005305134286187208,1.9962804680560323e-08,-0.0034740460135199917,-3.510862571148512e-06
