Yapı,Örnek sayısı,3B konum RMSE (m),Maksimum 3B hata (m),Yatay konum RMSE (m),Derinlik RMSE (m),Hız RMSE (m/s),Yaw RMSE (deg),Saf UKF'ye göre 3B konum RMSE oranı,Navigasyon geçerli oranı,Degraded oranı,Failsafe gerekli oranı
Saf robot_localization UKF,1798,1.1096300219142954,3.6544489429261584,1.1096291411153867,0.001398113389058808,0.31138828977193367,0.0032945911449471675,1.0,1.0,0.3074154067674586,0.0
Sağlık denetimli UKF,1798,1.1064334718439446,3.6492785764595332,1.1064325727306812,0.0014105379154176762,0.31137302383089455,0.002966069850802822,0.9971192649737106,1.0,0.3074154067674586,0.0
OOSM etkin UKF,1798,1.3165240927655235,4.498761677184773,1.316523283532613,0.0014597083926974428,0.3328237591688874,0.003017597059815338,1.186453202207256,1.0,0.3074154067674586,0.0
