t,x,y,z,vx,vy,vz,yaw,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_yaw
0.0,0.0,0.0,-0.10289087483215553,0.014184588683406218,-0.01678870245871167,0.008564419061599438,4.702511196486013e-05,0.0,0.0,-0.10094951078551985,0.0004919945928582136,-1.437185865699646e-07,0.013837741821845526,-3.516030297196057e-06
0.03500000000000014,-0.0075601057372978175,0.010129873101277553,-0.10212072174226705,-0.004799993782853562,0.008502180101686463,-0.005882214362884497,5.433276959010413e-05,1.3295427363502199e-05,-8.876488450148331e-10,-0.10045299984260837,0.00041557581646391444,-1.4989991059985664e-07,0.014292587192717499,-3.5153916501593564e-06
0.06500000000000128,-0.0077062444431703625,0.010390735655846584,-0.10237280305818786,-0.00499814507031715,0.008888402697550646,-0.0058299291714831725,5.917402285859909e-05,2.2700354018745372e-05,-1.6977046010679777e-09,-0.1000300426354381,0.0003690909328731836,-1.480362380210311e-07,0.013956888644256836,-3.5147146683119773e-06
0.10000000000000142,-0.0152986996882305,0.010601111628375293,-0.10133341565142473,-0.022394044634893362,0.00908858360821796,-0.018716416746201503,4.9446948438447436e-05,3.246507336385207e-05,-2.6604977837912985e-09,-0.09956359386184775,0.0003355231242949835,-1.3871257235924932e-07,0.01286882846048712,-3.5138611188716136e-06
0.13500000000000156,-0.016088664963405108,0.010927019109203684,-0.10066317601149422,-0.022934279087849063,0.009534668035144023,-0.0182217629318302,5.330372043843568e-05,4.170371132605766e-05,-3.6089347816962816e-09,-0.09914983443086653,0.0003251292803325242,-1.2199507863473668e-07,0.011066731102056152,-3.513003510539078e-06
0.16500000000000092,-0.0076934572430218395,-0.0027886290754395304,-0.09989059690360591,-0.002841941797242953,-0.021861725268990995,-0.02938192983958743,5.0679327869840314e-05,5.000221548012718e-05,-4.375977541311554e-09,-0.09886177338025354,0.0003351971283459999,-1.0216615540900918e-07,0.008994435101370777,-3.512330688783981e-06
0.20000000000000107,-0.007789956340843673,-0.0035557821020120173,-0.10010612771839078,-0.0030183515740986877,-0.021979016821433106,-0.029314730835380942,4.666246772400129e-05,6.081107609112735e-05,-5.197111013479652e-09,-0.09860841935941021,0.0003636720167115126,-7.475239111840554e-08,0.0061687026662340695,-3.5116626527819565e-06
0.2350000000000012,-0.00874181016769171,0.001135524628807616,-0.10030315070662255,-0.0050984131010523015,-0.009807889559681371,-0.027924405124963414,4.9740220537941575e-05,7.352011875028097e-05,-5.916150331183688e-09,-0.09845910988919299,0.0004079740998358494,-4.4086289287262626e-08,0.003025721578284359,-3.511166164164724e-06
0.26500000000000057,-0.008892105672202888,0.0008426610691003589,-0.1006395232398063,-0.005278954439575045,-0.009719575451015317,-0.0279101239685815,5.0625792353820025e-05,8.660068116750352e-05,-6.42858776922566e-09,-0.09842918316660976,0.0004564267902221528,-1.6442656225373702e-08,0.00021101223776890678,-3.510925393410099e-06
0.3000000000000007,-0.012036698011797853,0.0009528215457521583,-0.09895172139204078,-0.012013012394959333,-0.008624843867153231,-0.023247186654998586,4.8811616681465615e-05,0.00010440722597770957,-6.913351698118659e-09,-0.09849374590469921,0.0005206426275449275,1.5534629694993846e-08,-0.0030283155848322774,-3.5108503251139143e-06
