t,x,y,z,vx,vy,vz,yaw,x_ukf,y_ukf,z_ukf,vx_ukf,vy_ukf,vz_ukf,yaw_ukf,sample_t_ukf,mode,target_x,target_y,target_depth,target_yaw,target_speed,mode_setpoint,target_depth_setpoint,target_yaw_setpoint,target_speed_setpoint,heading_error_setpoint,depth_error_setpoint,sample_t_setpoint,navigation_valid_navigation,navigation_degraded_navigation,dvl_ok_navigation,ukf_ok_navigation,sample_t_navigation,current_x_current,current_y_current,current_z_current,sample_t_current,relative_x,relative_y,relative_x_ukf,relative_y_ukf,target_relative_x,target_relative_y,along_track,cross_track,speed,position_error,ukf_alignment_error_ms
0.01323390007019043,20.880472424938066,4.290628768492991,-1.9401739934612403,1.4474153307773867,0.26057429146625666,-0.024435057002856732,-0.029555263027334987,16.675875376560725,4.23153332300717,-1.9425864084696514,1.4311221524258144,0.32365706246491754,-0.022407492523598194,-0.031251667781602155,0.0004360675811767578,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.20842815753034907,0.8600000000000001,-0.17354094665595923,0.026417135773416867,0.01363229751586914,True,False,True,True,0.008059263229370117,1.5308084989341915e-17,0.25,0.0,0.010367870330810547,0.0,0.0,0.0,0.0,49.76055488038935,-2.155673024053023,0.0,0.0,1.4708865262668247,0.0,12.797832489013672
0.013293266296386719,20.880472424938066,4.290628768492991,-1.9401739934612403,1.4474153307773867,0.26057429146625666,-0.024435057002856732,-0.029555263027334987,16.675875376560725,4.23153332300717,-1.9425864084696514,1.4311221524258144,0.32365706246491754,-0.022407492523598194,-0.031251667781602155,0.0004360675811767578,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.20842815753034907,0.8600000000000001,-0.17354094665595923,0.026417135773416867,0.01363229751586914,True,False,True,True,0.008059263229370117,1.5308084989341915e-17,0.25,0.0,0.010367870330810547,0.0,0.0,0.0,0.0,49.76055488038935,-2.155673024053023,0.0,0.0,1.4708865262668247,0.0,12.857198715209961
0.0386502742767334,20.909566137807044,4.29471765340295,-1.9390876314614716,1.44996309514565,0.23827221932375459,-0.02927423332892174,-0.02713380296432658,16.720273871324025,4.236329728679266,-1.9413081121820142,1.4570635659183608,0.2541111736718449,-0.019864567039576286,-0.027735638469878587,0.03865408897399902,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21053306250640136,0.8600000000000001,-0.1792813947247992,0.027413591530348613,0.03912758827209473,True,False,True,True,0.05795168876647949,1.5308084989341915e-17,0.25,0.0,0.06034374237060547,0.02909371286897766,0.004088884909958956,0.04439849476329982,0.004796405672095716,49.76055488038935,-2.155673024053023,0.028889482842176222,0.005344238900069162,1.4697018774305273,0.015322329236525548,0.003814697265625
0.03867363929748535,20.909566137807044,4.29471765340295,-1.9390876314614716,1.44996309514565,0.23827221932375459,-0.02927423332892174,-0.02713380296432658,16.720273871324025,4.236329728679266,-1.9413081121820142,1.4570635659183608,0.2541111736718449,-0.019864567039576286,-0.027735638469878587,0.03865408897399902,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21053306250640136,0.8600000000000001,-0.1792813947247992,0.027413591530348613,0.03912758827209473,True,False,True,True,0.05795168876647949,1.5308084989341915e-17,0.25,0.0,0.06034374237060547,0.02909371286897766,0.004088884909958956,0.04439849476329982,0.004796405672095716,49.76055488038935,-2.155673024053023,0.028889482842176222,0.005344238900069162,1.4697018774305273,0.015322329236525548,0.019550323486328125
0.05871295928955078,20.938693655869333,4.298434523885866,-1.938171115279143,1.4524037386191506,0.2149494243672662,-0.035877295879997655,-0.024569638362455674,16.771450112690218,4.243893442995613,-1.9389129397604847,1.4579425841657212,0.2524911706932471,-0.018951958815478065,-0.02322038691177619,0.07264542579650879,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21053306250640136,0.8600000000000001,-0.1792813947247992,0.027257793484779524,0.058890342712402344,True,False,True,True,0.05795168876647949,1.5308084989341915e-17,0.25,0.0,0.06034374237060547,0.05822123093126663,0.007805755392874758,0.09557473612949252,0.01236011998844333,49.76055488038935,-2.155673024053023,0.05782884010716744,0.010318275062477008,1.4686616544835525,0.03766719342043406,13.932466506958008
0.05882549285888672,20.938693655869333,4.298434523885866,-1.938171115279143,1.4524037386191506,0.2149494243672662,-0.035877295879997655,-0.024569638362455674,16.771450112690218,4.243893442995613,-1.9389129397604847,1.4579425841657212,0.2524911706932471,-0.018951958815478065,-0.02322038691177619,0.07264542579650879,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21053306250640136,0.8600000000000001,-0.1792813947247992,0.027257793484779524,0.058890342712402344,True,False,True,True,0.05795168876647949,1.5308084989341915e-17,0.25,0.0,0.06034374237060547,0.05822123093126663,0.007805755392874758,0.09557473612949252,0.01236011998844333,49.76055488038935,-2.155673024053023,0.05782884010716744,0.010318275062477008,1.4686616544835525,0.03766719342043406,13.81993293762207
0.07861018180847168,20.967383324923457,4.301818139802093,-1.93764834945382,1.419595410402088,0.19211577368500768,-0.05736057115051033,-0.021931568857737182,16.771450112690218,4.243893442995613,-1.9389129397604847,1.4579425841657212,0.2524911706932471,-0.018951958815478065,-0.02322038691177619,0.07264542579650879,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21166808103314994,0.8600000000000001,-0.18393244256327135,0.030122479130098245,0.07919692993164062,True,False,True,True,0.05795168876647949,1.5308084989341915e-17,0.25,0.0,0.06034374237060547,0.0869108999853907,0.01118937130910247,0.09557473612949252,0.01236011998844333,49.76055488038935,-2.155673024053023,0.0863451820093192,0.014940418680247643,1.4336840080212845,0.008817607994686673,5.964756011962891
0.07864904403686523,20.967383324923457,4.301818139802093,-1.93764834945382,1.419595410402088,0.19211577368500768,-0.05736057115051033,-0.021931568857737182,16.771450112690218,4.243893442995613,-1.9389129397604847,1.4579425841657212,0.2524911706932471,-0.018951958815478065,-0.02322038691177619,0.07264542579650879,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21166808103314994,0.8600000000000001,-0.18393244256327135,0.030122479130098245,0.07919692993164062,True,False,True,True,0.05795168876647949,1.5308084989341915e-17,0.25,0.0,0.06034374237060547,0.0869108999853907,0.01118937130910247,0.09557473612949252,0.01236011998844333,49.76055488038935,-2.155673024053023,0.0863451820093192,0.014940418680247643,1.4336840080212845,0.008817607994686673,6.003618240356445
0.10187768936157227,20.995283977778698,4.304934835467571,-1.937587776465561,1.3814321785496553,0.1717141551002055,-0.07665740429206355,-0.019332916686201115,16.818273844197392,4.248613572854083,-1.9392424386387574,1.3827442119218176,0.19238780750583828,-0.05233225753750048,-0.018678962652954212,0.1091005802154541,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21336833184543222,0.8600000000000001,-0.19014794493365603,0.03108706023951524,0.10224127769470215,True,False,True,True,0.1078791618347168,1.5308084989341915e-17,0.25,0.0,0.11035656929016113,0.11481155284063149,0.014306066974580034,0.1423984676366672,0.01708024984691292,49.76055488038935,-2.155673024053023,0.11408479944205031,0.01926174328105965,1.3941725046159177,0.027736404740559908,7.222890853881836
0.10190725326538086,20.995283977778698,4.304934835467571,-1.937587776465561,1.3814321785496553,0.1717141551002055,-0.07665740429206355,-0.019332916686201115,16.818273844197392,4.248613572854083,-1.9392424386387574,1.3827442119218176,0.19238780750583828,-0.05233225753750048,-0.018678962652954212,0.1091005802154541,LOS,66.43643025695008,2.0758602989541473,1.97,-0.024387228427611225,0.8600000000000001,LOS,1.97,-0.21336833184543222,0.8600000000000001,-0.19014794493365603,0.03108706023951524,0.10224127769470215,True,False,True,True,0.1078791618347168,1.5308084989341915e-17,0.25,0.0,0.11035656929016113,0.11481155284063149,0.014306066974580034,0.1423984676366672,0.01708024984691292,49.76055488038935,-2.155673024053023,0.11408479944205031,0.01926174328105965,1.3941725046159177,0.027736404740559908,7.193326950073242
