t,step,x,y,z,u,yaw,pitch,ex,ey,ez,eu,throttle,pitch_fin,yaw_fin,esc_pwm,pitch_pwm,yaw_pwm,current_n,current_e,current_d,current_mode,energy_wh,reward,done,truncated,reward_progress,reward_depth,reward_cross,reward_energy,reward_fin,reward_time,reward_safety,reward_terminal
0.0,0,0.0042972594734436,-0.0010019819227695785,2.000164890640038,0.0,0.0,0.0,0.004194994847502369,0.0020968123620634495,2.004061446479838,0.052017936746668596,0.8,-0.03192009370900907,0.03345454232776089,1800.0,1439.0371116270564,1563.8934693640822,0.042972594734435994,-0.010019819227695785,0.0016489064003791755,calm,0.0,-0.02396457982249152,False,False,0.0730534110485412,-0.0003627838781144455,-0.0008516846343541417,-0.07,-0.0078035223585641205,-0.018,0.0,0.0
0.1,1,0.018063591137979368,-0.0019729422394438,2.000328257930439,0.0944,0.000719272660046677,-0.0008458824832887404,0.010029319401050937,0.004527635098979983,2.0039433978480754,0.16079647867396635,0.8,0.02631178547374924,0.020577144201438104,1800.0,1550.2518086366485,1539.2994505724832,0.043263374836825665,-0.009777502475704395,0.001713524200910213,calm,0.027777777777777776,0.13803141926810253,False,False,0.23402763829710807,-0.0007222644249075668,-0.00167700090352723,-0.07,-0.005596953700570744,-0.018,0.0,0.0
0.2,2,0.040537694663033835,-0.002896375746201632,2.000488004485948,0.18121681023999997,0.0017960797465388367,-0.0008767558098493332,0.026352806820764563,0.004259651120735255,2.022194265504904,0.2333609393458861,0.8,-0.0897486680342514,-0.01721088875274685,1800.0,1328.5926701572237,1467.1296237599477,0.043524600304334554,-0.009559814586113649,0.001771574304801079,calm,0.05555555555555555,0.27775665970885194,False,False,0.38205975992592595,-0.0010738242026258093,-0.002461919384271387,-0.07,-0.012767356630176791,-0.018,0.0,0.0
0.30000000000000004,3,0.07101350509484872,-0.0037710809292867665,2.000581867348044,0.2610045270577025,0.0023757894886409225,-0.0032781185658305413,0.04995674362715952,0.005450752740963279,2.005978431010925,0.3140722726533409,0.8,0.05749304125292433,0.0761301038311438,1800.0,1609.80362050547,1645.3977881139092,0.04375581040297186,-0.009367139503915895,0.00182295432672048,calm,0.08333333333333333,0.4096528576339016,False,False,0.518088777340853,-0.0012804128783464395,-0.0032054187898937513,-0.07,-0.015950088038711202,-0.018,0.0,0.0
0.4,4,0.1088371205854473,-0.004539837184824909,2.000632653885438,0.33428573312208015,0.004523890713544532,-0.003817963658575303,0.08163107786622521,0.003841909170464693,2.0148665737736655,0.4000273130060971,0.7905355171263708,-0.10517274442881183,-0.015466738175056002,1790.535517126371,1299.134854147368,1470.4607059911807,0.04395659733807468,-0.009199817057996877,0.0018675736456322178,calm,0.1111111111111111,0.5369966125481155,False,False,0.6430014633401758,-0.001392198773808937,-0.003858861607101173,-0.06835351291980954,-0.014400277491340714,-0.018,0.0,0.0
0.5,5,0.15329143949679586,-0.00520195563620133,2.00052668301935,0.4004349511634341,0.006085981123145956,-0.007055971943797019,0.12177239186276168,0.0006403314949813987,2.0086186614980925,0.4305178132086826,0.8,0.05713290725668986,0.029275389772895566,1800.0,1609.1158152373562,1555.911875919579,0.0441266069735521,-0.0090581423617657,0.0019053535646271985,calm,0.13812277197578243,0.6518285762067729,False,False,0.7557234214929255,-0.0011589522980730597,-0.00442166229077113,-0.07,-0.010314230697308443,-0.018,0.0,0.0
0.6,6,0.20393857186115694,-0.005722113196172534,2.0003114735214904,0.46223893654496295,0.00809316574453156,-0.008313191986047574,0.16502398570282573,0.0005029771956314425,2.0071886583103358,0.5074121423100044,0.7149012243818031,0.014518760970346961,0.04606084636121486,1714.9012243818033,1527.7287909120048,1587.9697365766042,0.04426553945648938,-0.008942365292651293,0.0019362274497243736,calm,0.16590054975356022,0.7743211806297986,False,False,0.8610012501941384,-0.0006853290614580393,-0.004863796216746654,-0.055899786318097014,-0.007231157968038066,-0.018,0.0,0.0
0.7,7,0.2592575493689066,-0.00605510057675098,2.0000146297357495,0.5088703391778149,0.010853810777359918,-0.008981024750538712,0.21592405246736437,-0.006121804192618641,1.9928073335536673,0.5676191703720894,0.6778524119499705,0.03444262159385149,-0.02665568788733108,1677.8524119499702,1565.7805617564613,1449.091386134598,0.04437314974601084,-0.008852690051383418,0.001960140847395807,calm,0.1872267864879311,0.8596944723241027,False,False,0.9404226176317443,-3.218561127516251e-05,-0.005146835490238333,-0.05025605072976167,-0.007293073476366466,-0.018,0.0,0.0
0.7999999999999999,8,0.3184197188395451,-0.006238227828052563,1.9996946272789922,0.5472409750763539,0.01271560240673697,-0.008608250315634218,0.2728718281962267,-0.006006462381599219,1.9911119037709473,0.6158785789602093,0.6471777256445688,-0.08865435834346004,-0.011162983933002007,1647.177725644569,1330.6826477159775,1478.6802711288879,0.0444492480454683,-0.008789274801835532,0.0019770515806085765,calm,0.20604609328147797,0.9240571492989521,False,False,1.0057568810008548,-0.0006719039134660992,-0.005302493653844678,-0.04581051656239589,-0.011914817572195917,-0.018,0.0,0.0
0.8999999999999999,9,0.3807375376316462,-0.006296427375635807,1.9992247503541676,0.578780514299496,0.014117698469287898,-0.010598986274217858,0.3345500407838937,-0.004765598047988419,2.000459257446155,0.6477572684699116,0.6322125444720246,0.02231919918998613,0.012784177275459229,1632.2125444720245,1542.626530523267,1524.415980081029,0.04449370013719327,-0.00875223139206472,0.0019869298232141263,calm,0.22292488675372954,0.9864383199377262,False,False,1.0594029194657182,-0.0017060901316433533,-0.005351963269290436,-0.04371638921428971,-0.0041901569127685,-0.018,0.0,0.0
