t,x,y,z,vx,vy,vz,yaw,mode,target_x,target_y,target_yaw,target_speed,cross_track,along_track
9.203772783279419,4.111748508575191,-5.513452816289535e-07,-0.09977199263169913,5.624613782046375e-05,-2.5732002387632723e-08,0.003277946208927536,-3.5287248046377103e-06,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.9736868971736365,-36.00599901030587
9.203802108764648,4.111748508575191,-5.513452816289535e-07,-0.09977199263169913,5.624613782046375e-05,-2.5732002387632723e-08,0.003277946208927536,-3.5287248046377103e-06,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.9736868971736365,-36.00599901030587
9.223507165908813,4.11174934975954,-5.513766315498575e-07,-0.09971311180778888,5.8149184362808143e-05,-2.2169298590275864e-08,0.002827789744875669,-3.528572969690891e-06,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973686897204987,-36.00599816912152
9.223544836044312,4.11174934975954,-5.513766315498575e-07,-0.09971311180778888,5.8149184362808143e-05,-2.2169298590275864e-08,0.002827789744875669,-3.528572969690891e-06,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973686897204987,-36.00599816912152
9.243378400802612,4.11175030983804,-5.514023997725282e-07,-0.09966400197215647,6.218896452763576e-05,-1.8157613691944883e-08,0.00232721223433985,-3.5284324585446703e-06,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973686897230755,-36.00599720904302
9.243418455123901,4.11175030983804,-5.514023997725282e-07,-0.09966400197215647,6.218896452763576e-05,-1.8157613691944883e-08,0.00232721223433985,-3.5284324585446703e-06,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973686897230755,-36.00599720904302
9.265935897827148,4.112208191367201,1.2026230790185085e-05,-0.09939085782681645,0.03375531868431249,0.0004630935985538598,0.017455416896615485,-4.049775684601253e-05,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973674319597565,-36.00553932751386
9.26596188545227,4.112208191367201,1.2026230790185085e-05,-0.09939085782681645,0.03375531868431249,0.0004630935985538598,0.017455416896615485,-4.049775684601253e-05,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973674319597565,-36.00553932751386
9.285736799240112,4.113520806635711,1.86058929767092e-05,-0.09884282041869555,0.07635530295263546,0.0003177628233464646,0.02999056775219756,-7.026740992745042e-05,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973667739935379,-36.00422671224535
9.285787343978882,4.113520806635711,1.86058929767092e-05,-0.09884282041869555,0.07635530295263546,0.0003177628233464646,0.02999056775219756,-7.026740992745042e-05,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973667739935379,-36.00422671224535
9.305646181106567,4.115673140297563,2.309044009949207e-05,-0.09809817183010139,0.11813489589702889,0.0002594443761102518,0.03888172822468582,-9.479449348187942e-05,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973663255388256,-36.0020743785835
9.305685758590698,4.115673140297563,2.309044009949207e-05,-0.09809817183010139,0.11813489589702889,0.0002594443761102518,0.03888172822468582,-9.479449348187942e-05,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973663255388256,-36.0020743785835
9.32580280303955,4.1186486005726195,2.7458603327466464e-05,-0.09722250838460192,0.15902388481524743,0.0003146431892955373,0.044809101950413696,-0.00011674667090894603,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973658887225028,-35.99909891830844
9.32585620880127,4.1186486005726195,2.7458603327466464e-05,-0.09722250838460192,0.15902388481524743,0.0003146431892955373,0.044809101950413696,-0.00011674667090894603,LOS,40.11774751888106,4.973686345828355,0.0,0.8,-4.973658887225028,-35.99909891830844
