topic,message_count,average_hz
/clock,107963,892.1159606980322
/imu/data,21598,178.46781322449448
/ground_truth/odometry,10804,89.27522243158803
/battery/state,5833,48.19903484297048
/pressure/raw,5400,44.6210848880577
/pressure/depth_pose,5400,44.6210848880577
/auv/state,5399,44.612821724189544
/sara_uuv/fin_4/cmd_pos,5399,44.612821724189544
/sara_uuv/fin_3/cmd_pos,5399,44.612821724189544
/sara_uuv/propeller/cmd_angvel,5399,44.612821724189544
/sara_uuv/fin_2/cmd_pos,5399,44.612821724189544
/guidance/setpoint,5399,44.612821724189544
/sara_uuv/fin_1/cmd_pos,5399,44.612821724189544
/sara_uuv/cmd_vel,5399,44.612821724189544
/tf,5398,44.60455856032138
/odometry/ukf,3241,26.78091409670278
/auv/fire/capacitive_surface_valid,3175,26.235545281404296
/auv/fire/capacitive_sensor_z,3175,26.235545281404296
/navigation/status,2422,20.013382888680695
/ocean_current/status,2420,19.996856560944376
/ocean_current,2420,19.996856560944376
/guidance/goal,2160,17.84843395522308
/auv/mission/status,2159,17.84017079135492
/auv/failsafe/status,2159,17.84017079135492
/dvl/raw,1633,13.493746596703375
/dvl/quality_twist,1632,13.485483432835217
/rosout,65,0.5371056514303242
