Vaka,Episode,Politika kararı,Durdurma nedeni,Akıntı X (m/s),Akıntı Y (m/s),Test süresi (s),Hedef mesafe (m),İlerleme (m),İlerleme oranı,Cross-track RMSE (m),Derinlik RMSE (m),UKF konum RMSE (m),UKF zaman eşleme ortalama hatası (ms),UKF zaman eşleme maksimum hatası (ms),Maksimum hız (m/s),DVL hız sınırı ihlal sayısı,Navigasyon geçerli oranı,Navigasyon degraded oranı,Çıktı klasörü
rl_policy,Akıntısız,KABUL - ROS/Gazebo politika adayı koşulları sağlandı,rl_target_reached,0.0,0.0,53.27794528007507,49.81159255843468,48.50503481765556,0.9737700066656898,0.3890939482506285,0.0459421838113592,0.0162436523721808,9.059296192856609,34.35111045837402,1.4594827403512505,0,1.0,0.0,rl_policy_20260615_234626
rl_policy_following_current,Takip eden,KABUL - ROS/Gazebo politika adayı koşulları sağlandı,rl_target_reached,0.25,0.0,42.30665636062622,49.76815837653768,48.4739243172667,0.9739947367656441,0.3504345529990925,0.0550860736397662,0.0732626293853109,8.874615742302142,37.53304481506348,1.7197423389736577,0,1.0,0.0,rl_policy_following_current_20260615_234910
rl_policy_cross_current,Çapraz,KABUL - ROS/Gazebo politika adayı koşulları sağlandı,rl_target_reached,0.0,0.25,54.30445909500122,49.80722586323063,48.38911862729617,0.9715280822941526,1.2329448475456235,0.1027240112139656,0.0595481113548998,8.853316599128197,36.407470703125,1.4708865262668247,0,1.0,0.0,rl_policy_cross_current_20260615_235035
rl_policy_diagonal_current,Diyagonal,KABUL - ROS/Gazebo politika adayı koşulları sağlandı,rl_target_reached,0.25,0.2,42.03042411804199,49.71941192549281,48.42195882965707,0.9739044963407846,0.469637934734124,0.0807828816909357,0.0772070464098542,8.589436891452818,27.832746505737305,1.7154493224513638,0,1.0,0.0,rl_policy_diagonal_current_20260615_235217
rl_policy_reverse_current,Ters,KABUL - ROS/Gazebo politika adayı koşulları sağlandı,rl_target_reached,-0.2,0.0,63.88395166397095,49.832064080880144,48.41008515807218,0.9714645791011182,0.387331388142004,0.0538492661930785,0.0554217200882454,8.661379882710635,29.0982723236084,1.2633679440131682,0,1.0,0.0,rl_policy_reverse_current_20260615_235346
rl_policy_hard_cross_current,Güçlü çapraz,BAŞARISIZ - ROS/Gazebo politika adayı koşulları sağlanmadı,duration_limit_reached,0.0,0.4,95.08914804458618,49.828328782960725,67.88663979326093,1.3624105293387927,7.15391659629213,1.3029699867088067,0.3599949912329034,9.565109691461368,66.93315505981445,1.4201335745836898,0,1.0,0.0322336942835557,rl_policy_hard_cross_current_20260615_235539
