t,state,actuator_command,fired
-0.005000000000000782,IDLE,False,False
0.014999999999998792,IDLE,False,False
0.03500000000000014,IDLE,False,False
0.054999999999999716,IDLE,False,False
0.07499999999999929,IDLE,False,False
0.09499999999999886,IDLE,False,False
0.11500000000000021,IDLE,False,False
0.1349999999999998,IDLE,False,False
0.15499999999999936,IDLE,False,False
0.17499999999999893,IDLE,False,False
0.19500000000000028,IDLE,False,False
0.21499999999999986,IDLE,False,False
0.23499999999999943,IDLE,False,False
0.254999999999999,IDLE,False,False
0.27500000000000036,IDLE,False,False
0.29499999999999993,IDLE,False,False
0.3149999999999995,IDLE,False,False
0.3349999999999991,IDLE,False,False
0.3550000000000004,IDLE,False,False
0.375,IDLE,False,False
0.3949999999999996,IDLE,False,False
0.41499999999999915,IDLE,False,False
0.4350000000000005,IDLE,False,False
0.45500000000000007,IDLE,False,False
0.47499999999999964,IDLE,False,False
0.4949999999999992,IDLE,False,False
0.5149999999999988,IDLE,False,False
0.5350000000000001,IDLE,False,False
0.5549999999999997,IDLE,False,False
0.5749999999999993,IDLE,False,False
0.5949999999999989,IDLE,False,False
0.6150000000000002,IDLE,False,False
0.6349999999999998,IDLE,False,False
0.6549999999999994,IDLE,False,False
0.6749999999999989,IDLE,False,False
0.6950000000000003,IDLE,False,False
0.7149999999999999,IDLE,False,False
0.7349999999999994,IDLE,False,False
0.754999999999999,IDLE,False,False
0.7750000000000004,IDLE,False,False
0.7949999999999999,IDLE,False,False
0.8149999999999995,IDLE,False,False
0.8349999999999991,IDLE,False,False
0.8550000000000004,IDLE,False,False
0.875,IDLE,False,False
0.8949999999999996,IDLE,False,False
0.9149999999999991,IDLE,False,False
0.9350000000000005,IDLE,False,False
0.9550000000000001,IDLE,False,False
0.9749999999999996,IDLE,False,False
0.9949999999999992,IDLE,False,False
1.0149999999999988,IDLE,False,False
1.0350000000000001,IDLE,False,False
1.0549999999999997,IDLE,False,False
1.0749999999999993,IDLE,False,False
1.0949999999999989,IDLE,False,False
1.1150000000000002,IDLE,False,False
1.1349999999999998,IDLE,False,False
1.1549999999999994,IDLE,False,False
1.174999999999999,IDLE,False,False
1.1950000000000003,IDLE,False,False
1.2149999999999999,IDLE,False,False
1.2349999999999994,IDLE,False,False
1.254999999999999,IDLE,False,False
1.2750000000000004,IDLE,False,False
1.295,IDLE,False,False
1.3149999999999995,IDLE,False,False
1.334999999999999,IDLE,False,False
1.3550000000000004,IDLE,False,False
1.375,IDLE,False,False
1.3949999999999996,IDLE,False,False
1.4149999999999991,IDLE,False,False
1.4350000000000005,IDLE,False,False
1.455,IDLE,False,False
1.4749999999999996,IDLE,False,False
1.4949999999999992,IDLE,False,False
1.5149999999999988,IDLE,False,False
1.5350000000000001,IDLE,False,False
1.5549999999999997,IDLE,False,False
1.5749999999999993,IDLE,False,False
1.5949999999999989,IDLE,False,False
1.6150000000000002,IDLE,False,False
1.6349999999999998,IDLE,False,False
1.6549999999999994,IDLE,False,False
1.674999999999999,IDLE,False,False
1.6950000000000003,IDLE,False,False
1.7149999999999999,IDLE,False,False
1.7349999999999994,IDLE,False,False
1.754999999999999,IDLE,False,False
1.7750000000000004,IDLE,False,False
1.795,IDLE,False,False
1.8149999999999995,IDLE,False,False
1.834999999999999,IDLE,False,False
1.8550000000000004,IDLE,False,False
1.875,IDLE,False,False
1.8949999999999996,IDLE,False,False
1.9149999999999991,IDLE,False,False
1.9350000000000005,IDLE,False,False
1.955,IDLE,False,False
1.9749999999999996,IDLE,False,False
1.9949999999999992,IDLE,False,False
2.014999999999999,IDLE,False,False
2.035,IDLE,False,False
2.0549999999999997,IDLE,False,False
2.0749999999999993,IDLE,False,False
2.094999999999999,IDLE,False,False
2.115,IDLE,False,False
2.135,IDLE,False,False
2.1549999999999994,IDLE,False,False
2.174999999999999,IDLE,False,False
2.1950000000000003,IDLE,False,False
2.215,IDLE,False,False
2.2349999999999994,IDLE,False,False
2.254999999999999,IDLE,False,False
2.2750000000000004,IDLE,False,False
2.295,IDLE,False,False
2.3149999999999995,IDLE,False,False
2.334999999999999,IDLE,False,False
2.3550000000000004,IDLE,False,False
2.375,IDLE,False,False
2.3949999999999996,IDLE,False,False
2.414999999999999,IDLE,False,False
2.4350000000000005,IDLE,False,False
2.455,IDLE,False,False
2.4749999999999996,IDLE,False,False
2.494999999999999,IDLE,False,False
2.514999999999999,IDLE,False,False
2.5349999999999984,IDLE,False,False
