t,x,y,z,vx,vy,vz,roll,pitch,yaw,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_roll,gt_pitch,gt_yaw
0.0,0.0,0.0,-0.10773295335911826,0.010349405469582962,0.013448455355273836,0.004669678527164933,-6.755690937287898e-05,-0.003672814618399745,-1.9449250628245096e-05,0.0,0.0,-0.10404653616567892,0.0013374469197127297,-1.493365106341394e-07,0.0116003360610779,-1.0008438263826082e-05,-0.0035805997128719354,-3.4880654006568893e-06
0.03500000000000014,-0.0014709035417581617,0.00074565011618688,-0.10663132505305839,-0.014275344336397211,0.017287804024249454,0.007362750475948587,-6.69571315428108e-05,-0.003874086262234844,-1.7259772471245327e-05,4.197933625826826e-05,-1.4891067767373535e-09,-0.1035730655821048,0.0012057348216817012,-1.8523812463983697e-07,0.014443910128708236,-9.987340662311817e-06,-0.003676110458389237,-3.4881660271501743e-06
0.07000000000000028,-0.001978164045340236,0.0013550238631978573,-0.10437375363335377,-0.014651744816546852,0.017532107025544974,0.007651138982168959,-6.946871502355735e-05,-0.004162900070395104,-1.3540583924331884e-05,7.911096483104174e-05,-3.241473017880883e-09,-0.10300430127820784,0.0010784642642038297,-2.2067314744905257e-07,0.0171931497560555,-9.96390519894688e-06,-0.0038665393259212305,-3.4879367556153005e-06
0.09999999999999964,-0.001134520210143819,0.0010707552644362295,-0.10613067010945088,0.003075688664438303,0.00637000547735056,0.015930845485740974,-6.656805270477406e-05,-0.004510212760922005,-1.2997556686045186e-05,0.00010732151633341402,-4.957403434233044e-09,-0.10244630915052011,0.0009740077236810986,-2.506245025908994e-07,0.019479938345378776,-9.941638361372821e-06,-0.004101667251555012,-3.4874986444656405e-06
0.1349999999999998,-0.0009456839788981597,0.0009622112484066747,-0.1038195962419195,0.005019888736228495,-0.0012542614303185928,0.020281057262536706,-7.407017746974275e-05,-0.004982815495220283,-1.8771579930465524e-05,0.00013554745716959292,-7.20778014309437e-09,-0.10170840705629744,0.0008613703692976586,-2.782115431572482e-07,0.021717350530174855,-9.913367684298103e-06,-0.004471041145219968,-3.486675019019118e-06
0.16999999999999993,-0.0007729630424364586,0.0009154844090062397,-0.10152733775885281,0.0050647200581579455,-0.0014188205495742068,0.020805330775374387,-6.846824161410581e-05,-0.005544370028307989,-2.308438356868336e-05,0.00015981799680098163,-9.550223998179033e-09,-0.10092455618266201,0.0007684301116734407,-2.887374898464585e-07,0.02258365971376828,-9.885870544141698e-06,-0.004922304541888253,-3.4855597989664364e-06
0.1999999999999993,-0.001827004686674627,0.0013866439410321618,-0.09977093592669917,-0.021649071916272078,0.009917955523519595,0.025224024996532535,-6.947557416925318e-05,-0.006097261807286092,-1.6399719763970925e-05,0.0001783008611715431,-1.1608023915854703e-08,-0.10025079538487097,0.0007101856535279622,-2.863897541891213e-07,0.022242010802270555,-9.862852114621166e-06,-0.005357966462750088,-3.48442980120557e-06
0.23499999999999943,-0.002599894220566057,0.001735373109113425,-0.09933316615479271,-0.02219013154649474,0.010004756930754866,0.025829673459611513,-7.312490396405025e-05,-0.006809860317876115,-2.5018491457640127e-05,0.0001980706704003405,-1.4019768580686547e-08,-0.09950992999951393,0.0006760335479455774,-2.682991652889058e-07,0.02049016421464065,-9.836574231406153e-06,-0.0059048029056775276,-3.482999623239634e-06
0.2699999999999996,-0.0018197354461335635,0.0013677085869403527,-0.09816587817977052,0.0087112180724489,-0.004311761444029116,0.017872584685733273,-6.94421406151058e-05,-0.007531837544187514,-1.8628391629249563e-05,0.00021758461510446025,-1.6371423602167006e-08,-0.09885627677791226,0.0006750268374297503,-2.368219526581855e-07,0.017583458683430662,-9.810775944062619e-06,-0.006457416159738393,-3.4816002439369247e-06
0.3000000000000007,-0.0015607845916747465,0.0012354739740203513,-0.09881498344930151,0.00883412392909122,-0.00450611555498881,0.01823423120674761,-7.148437144399723e-05,-0.008120267591937402,-1.9939162321680464e-05,0.00023506919226878864,-1.8296915465775613e-08,-0.09838650389130286,0.0006974284623576098,-2.0109365348152182e-07,0.014342946450071465,-9.788976156104762e-06,-0.006914408319801474,-3.480511423357076e-06
