t,signal,value
0.11572027206420898,imu_accel_y_mps2,-0.009000000000000001
0.11572027206420898,imu_accel_z_mps2,9.928
0.11572027206420898,imu_gyro_x_radps,0.00975
0.11572027206420898,imu_gyro_y_radps,-0.0075
0.11572027206420898,imu_gyro_z_radps,-0.00175
0.1205751895904541,imu_accel_x_mps2,0.035
0.1205751895904541,imu_accel_y_mps2,0.042
0.1205751895904541,imu_accel_z_mps2,9.917
0.1205751895904541,imu_gyro_x_radps,0.00975
0.1205751895904541,imu_gyro_y_radps,-0.0075
0.1205751895904541,imu_gyro_z_radps,-0.00075
0.12634515762329102,imu_accel_x_mps2,0.085
0.12634515762329102,imu_accel_y_mps2,-0.024
0.12634515762329102,imu_accel_z_mps2,9.942
0.12634515762329102,imu_gyro_x_radps,0.0105
0.12634515762329102,imu_gyro_y_radps,-0.0085
0.12634515762329102,imu_gyro_z_radps,-0.0022500000000000003
0.13131999969482422,imu_accel_x_mps2,-0.08700000000000001
0.13131999969482422,imu_accel_y_mps2,0.082
0.13131999969482422,imu_accel_z_mps2,9.954
0.13131999969482422,imu_gyro_x_radps,0.0095
0.13131999969482422,imu_gyro_y_radps,-0.00775
0.13131999969482422,imu_gyro_z_radps,-0.002
0.1412525177001953,imu_accel_x_mps2,-0.057
0.1412525177001953,imu_accel_y_mps2,-0.051000000000000004
0.1412525177001953,imu_accel_z_mps2,9.948
0.1412525177001953,imu_gyro_x_radps,0.0075
0.1412525177001953,imu_gyro_y_radps,-0.00825
0.1412525177001953,imu_gyro_z_radps,-0.0005
0.14503049850463867,dvl_quality_speed_mps,0.025813398232727075
0.14812231063842773,imu_accel_x_mps2,0.083
0.14812231063842773,imu_accel_y_mps2,0.056
0.14812231063842773,imu_accel_z_mps2,9.94
0.14812231063842773,imu_gyro_x_radps,0.0085
0.14812231063842773,imu_gyro_y_radps,-0.009000000000000001
0.14812231063842773,imu_gyro_z_radps,-0.002
0.15192413330078125,imu_accel_x_mps2,-0.008
0.15192413330078125,imu_accel_y_mps2,0.039
0.15192413330078125,imu_accel_z_mps2,9.901
0.15192413330078125,imu_gyro_x_radps,0.00925
0.15192413330078125,imu_gyro_y_radps,-0.00875
0.15192413330078125,imu_gyro_z_radps,-0.004
0.15695714950561523,imu_accel_x_mps2,0.021
0.15695714950561523,imu_accel_y_mps2,-0.004
0.15695714950561523,imu_accel_z_mps2,9.914
0.15695714950561523,imu_gyro_x_radps,0.01125
0.15695714950561523,imu_gyro_y_radps,-0.00875
0.15695714950561523,imu_gyro_z_radps,-0.0015
0.16194796562194824,imu_accel_x_mps2,0.07
0.16194796562194824,imu_accel_y_mps2,-0.009000000000000001
0.16194796562194824,imu_accel_z_mps2,9.948
0.16194796562194824,imu_gyro_x_radps,0.010750000000000001
0.16194796562194824,imu_gyro_y_radps,-0.008
0.16194796562194824,imu_gyro_z_radps,-0.0022500000000000003
0.1668694019317627,imu_accel_x_mps2,0.034
0.1668694019317627,imu_accel_y_mps2,-0.017
0.1668694019317627,imu_accel_z_mps2,10.005
0.1668694019317627,imu_gyro_x_radps,0.00775
0.1668694019317627,imu_gyro_y_radps,-0.00925
0.1668694019317627,imu_gyro_z_radps,-0.002
0.17216277122497559,imu_accel_x_mps2,0.024
0.17216277122497559,imu_accel_y_mps2,0.029
0.17216277122497559,imu_accel_z_mps2,9.899000000000001
0.17216277122497559,imu_gyro_x_radps,0.01025
0.17216277122497559,imu_gyro_y_radps,-0.010750000000000001
0.17216277122497559,imu_gyro_z_radps,-0.0032500000000000003
0.17689013481140137,imu_accel_x_mps2,0.031
0.17689013481140137,imu_accel_y_mps2,-0.011
0.17689013481140137,imu_accel_z_mps2,9.982000000000001
0.17689013481140137,imu_gyro_x_radps,0.00875
0.17689013481140137,imu_gyro_y_radps,-0.01025
0.17689013481140137,imu_gyro_z_radps,-0.002
0.18220257759094238,imu_accel_x_mps2,0.077
0.18220257759094238,imu_accel_y_mps2,0.027
0.18220257759094238,imu_accel_z_mps2,9.941
0.18220257759094238,imu_gyro_x_radps,0.0095
0.18220257759094238,imu_gyro_y_radps,-0.01125
0.18220257759094238,imu_gyro_z_radps,-0.00175
0.18804383277893066,imu_accel_x_mps2,0.09
0.18804383277893066,imu_accel_y_mps2,-0.016
0.18804383277893066,imu_accel_z_mps2,9.878
0.18804383277893066,imu_gyro_x_radps,0.00825
0.18804383277893066,imu_gyro_y_radps,-0.01225
0.18804383277893066,imu_gyro_z_radps,-0.0022500000000000003
0.192979097366333,imu_accel_x_mps2,0.038
0.192979097366333,imu_accel_y_mps2,-0.022
0.192979097366333,imu_accel_z_mps2,9.905
0.192979097366333,imu_gyro_x_radps,0.01
0.192979097366333,imu_gyro_y_radps,-0.0125
0.192979097366333,imu_gyro_z_radps,-0.003
0.19806718826293945,imu_accel_x_mps2,0.093
0.19806718826293945,imu_accel_y_mps2,0.079
0.19806718826293945,imu_accel_z_mps2,9.909
0.19806718826293945,imu_gyro_x_radps,0.00925
0.19806718826293945,imu_gyro_y_radps,-0.012
0.19806718826293945,imu_gyro_z_radps,-0.0032500000000000003
0.2056570053100586,imu_accel_x_mps2,0.07200000000000001
0.2056570053100586,imu_accel_y_mps2,0.063
0.2056570053100586,imu_accel_z_mps2,9.84
0.2056570053100586,imu_gyro_x_radps,0.00925
0.2056570053100586,imu_gyro_y_radps,-0.0125
0.2056570053100586,imu_gyro_z_radps,-0.00275
0.2160036563873291,imu_accel_x_mps2,-0.015
0.2160036563873291,imu_accel_y_mps2,-0.018000000000000002
0.2160036563873291,imu_accel_z_mps2,9.851
0.2160036563873291,imu_gyro_x_radps,0.00725
0.2160036563873291,imu_gyro_y_radps,-0.01325
0.2160036563873291,imu_gyro_z_radps,-0.0022500000000000003
0.21998286247253418,dvl_quality_speed_mps,0.028594166596118117
0.22517967224121094,imu_accel_x_mps2,0.054
0.22517967224121094,imu_accel_y_mps2,0.058
0.22517967224121094,imu_accel_z_mps2,9.862
0.22517967224121094,imu_gyro_x_radps,0.01025
0.22517967224121094,imu_gyro_y_radps,-0.0135
0.22517967224121094,imu_gyro_z_radps,-0.0022500000000000003
0.2294759750366211,imu_accel_x_mps2,0.021
0.2294759750366211,imu_accel_y_mps2,-0.009000000000000001
0.2294759750366211,imu_accel_z_mps2,9.907
0.2294759750366211,imu_gyro_x_radps,0.0095
0.2294759750366211,imu_gyro_y_radps,-0.01375
0.2294759750366211,imu_gyro_z_radps,-0.001
0.23436665534973145,imu_accel_x_mps2,0.076
0.23436665534973145,imu_accel_y_mps2,0.055
0.23436665534973145,imu_accel_z_mps2,9.895
0.23436665534973145,imu_gyro_x_radps,0.009000000000000001
0.23436665534973145,imu_gyro_y_radps,-0.015
0.23436665534973145,imu_gyro_z_radps,-0.0022500000000000003
0.23945903778076172,imu_accel_x_mps2,0.083
0.23945903778076172,imu_accel_y_mps2,0.025
0.23945903778076172,imu_accel_z_mps2,9.870000000000001
0.23945903778076172,imu_gyro_x_radps,0.0095
0.23945903778076172,imu_gyro_y_radps,-0.014750000000000001
0.23945903778076172,imu_gyro_z_radps,-0.00125
0.24440264701843262,imu_accel_x_mps2,0.062
0.24440264701843262,imu_accel_y_mps2,-0.02
0.24440264701843262,imu_accel_z_mps2,9.817
0.24440264701843262,imu_gyro_x_radps,0.00925
0.24440264701843262,imu_gyro_y_radps,-0.01375
0.24440264701843262,imu_gyro_z_radps,-0.0025
0.24938702583312988,imu_accel_x_mps2,0.065
0.24938702583312988,imu_accel_y_mps2,0.032
0.24938702583312988,imu_accel_z_mps2,9.913
0.24938702583312988,imu_gyro_x_radps,0.009000000000000001
0.24938702583312988,imu_gyro_y_radps,-0.0145
0.24938702583312988,imu_gyro_z_radps,-0.0025
0.25435566902160645,imu_accel_x_mps2,-0.013000000000000001
0.25435566902160645,imu_accel_y_mps2,0.016
0.25435566902160645,imu_accel_z_mps2,9.812
0.25435566902160645,imu_gyro_x_radps,0.0075
0.25435566902160645,imu_gyro_y_radps,-0.0145
0.25435566902160645,imu_gyro_z_radps,-0.00125
0.2594761848449707,imu_accel_x_mps2,0.033
0.2594761848449707,imu_accel_y_mps2,-0.012
0.2594761848449707,imu_accel_z_mps2,9.699
0.2594761848449707,imu_gyro_x_radps,0.01
0.2594761848449707,imu_gyro_y_radps,-0.0165
0.2594761848449707,imu_gyro_z_radps,-0.0022500000000000003
0.26440858840942383,imu_accel_x_mps2,0.151
0.26440858840942383,imu_accel_y_mps2,-0.006
0.26440858840942383,imu_accel_z_mps2,9.914
0.26440858840942383,imu_gyro_x_radps,0.009000000000000001
0.26440858840942383,imu_gyro_y_radps,-0.016
0.26440858840942383,imu_gyro_z_radps,-0.002
0.2695486545562744,imu_accel_x_mps2,0.038
0.2695486545562744,imu_accel_y_mps2,0.05
0.2695486545562744,imu_accel_z_mps2,9.848
0.2695486545562744,imu_gyro_x_radps,0.00875
0.2695486545562744,imu_gyro_y_radps,-0.01525
0.2695486545562744,imu_gyro_z_radps,-0.0025
0.2743654251098633,imu_accel_x_mps2,0.124
0.2743654251098633,imu_accel_y_mps2,0.054
0.2743654251098633,imu_accel_z_mps2,9.806000000000001
0.2743654251098633,imu_gyro_x_radps,0.01025
0.2743654251098633,imu_gyro_y_radps,-0.014750000000000001
0.2743654251098633,imu_gyro_z_radps,-0.0015
0.27944421768188477,imu_accel_x_mps2,0.049
0.27944421768188477,imu_accel_y_mps2,-0.002
0.27944421768188477,imu_accel_z_mps2,9.795
0.27944421768188477,imu_gyro_x_radps,0.01
0.27944421768188477,imu_gyro_y_radps,-0.01575
0.27944421768188477,imu_gyro_z_radps,-0.00125
0.28445982933044434,imu_accel_x_mps2,0.006
0.28445982933044434,imu_accel_y_mps2,-0.05
0.28445982933044434,imu_accel_z_mps2,9.719
0.28445982933044434,imu_gyro_x_radps,0.009000000000000001
0.28445982933044434,imu_gyro_y_radps,-0.01525
0.28445982933044434,imu_gyro_z_radps,-0.002
0.29004764556884766,dvl_quality_speed_mps,0.03323851937945695
0.29218626022338867,imu_accel_x_mps2,0.111
0.29218626022338867,imu_accel_y_mps2,-0.021
0.29218626022338867,imu_accel_z_mps2,9.788
0.29218626022338867,imu_gyro_x_radps,0.00975
0.29218626022338867,imu_gyro_y_radps,-0.01725
0.29218626022338867,imu_gyro_z_radps,-0.002
0.29688358306884766,imu_accel_x_mps2,-0.06
0.29688358306884766,imu_accel_y_mps2,-0.025
0.29688358306884766,imu_accel_z_mps2,9.745000000000001
0.29688358306884766,imu_gyro_x_radps,0.00875
0.29688358306884766,imu_gyro_y_radps,-0.01675
0.29688358306884766,imu_gyro_z_radps,-0.00375
0.30193400382995605,imu_accel_x_mps2,0.065
0.30193400382995605,imu_accel_y_mps2,0.0
0.30193400382995605,imu_accel_z_mps2,9.738
0.30193400382995605,imu_gyro_x_radps,0.0095
0.30193400382995605,imu_gyro_y_radps,-0.01625
0.30193400382995605,imu_gyro_z_radps,-0.0025
0.30690836906433105,imu_accel_x_mps2,0.07200000000000001
0.30690836906433105,imu_accel_y_mps2,-0.014
0.30690836906433105,imu_accel_z_mps2,9.767
0.30690836906433105,imu_gyro_x_radps,0.00975
0.30690836906433105,imu_gyro_y_radps,-0.016
0.30690836906433105,imu_gyro_z_radps,-0.0035
